eng_title,episode_num,jp_title,show_type
Baby and Me,35,Akachan to Boku,TV
Fire Force Season 2,24,Enen no Shouboutai: Ni no Shou,TV
Anne of Green Gables,50,Akage no Anne,TV
Tokyo Revengers: Tenjiku Arc,13,Tokyo Revengers: Tenjiku-hen,TV
The Quintessential Quintuplets Movie,1,5-toubun no Hanayome Movie,Movie
The Stranger by the Shore,1,Umibe no Étranger,Movie
The Eccentric Family,13,Uchouten Kazoku,TV
The Melancholy of Haruhi Suzumiya,14,Suzumiya Haruhi no Yuuutsu,TV
King of Braves GaoGaiGar,49,Yuusha-Ou GaoGaiGar,TV
Somali and the Forest Spirit,12,Somali to Mori no Kamisama,TV
N/A,26,Tentai Senshi Sunred 2nd Season,TV
N/A,12,Trigun Stampede,TV
N/A,12,Sonny Boy,TV
N/A,1,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Movie
N/A,13,Ojamajo Doremi Na-i-sho,OVA
Outlaw Star,24,Seihou Bukyou Outlaw Star,TV
The Angel Next Door Spoils Me Rotten,12,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,TV
N/A,10,Haikyuu!! (OVA),OVA
Attack on Titan: Lost Girls,3,Shingeki no Kyojin: Lost Girls,OVA
Lucky☆Star OVA,1,Lucky☆Star: Original na Visual to Animation,OVA
The Anthem of the Heart,1,Kokoro ga Sakebitagatterunda.,Movie
Haré+Guu,26,Jungle wa Itsumo Hare nochi Guu,TV
InuYasha the Movie 3: Swords of an Honorable Ruler,1,InuYasha Movie 3: Tenka Hadou no Ken,Movie
Legend of the Galactic Heroes: Die Neue These,12,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,TV
The Dog of Flanders,1,Flanders no Inu (Movie),Movie
Digimon: The Movie,1,Digimon Adventure: Bokura no War Game!,Movie
Emma: A Victorian Romance Season Two,12,Eikoku Koi Monogatari Emma: Molders-hen,TV
Shin Chan,Unknown/ Still airing,Crayon Shin-chan,TV
N/A,2,Hidamari Sketch x ☆☆☆ Specials,TV Special
Giant Robo the Animation: The Day the Earth Stood Still,7,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,OVA
N/A,12,Beastars,TV
N/A,13,City Hunter 3,TV
